priority_rank,content_id,client_id,rf_score,impressions_90d,days_since_last_update,avg_position,reason_code,recommended_action
134,content_20ddbdfbbd90,client_3fdba35f04,0.7561915041123619,5541,104,11.2,striking_distance_ctr_gap,title_meta_ctr_rewrite
135,content_e76ac7fed711,client_3fdba35f04,0.7561576551785468,1877,104,5.8,striking_distance_ctr_gap,title_meta_ctr_rewrite
136,content_482aff19e9cc,client_7f2253d7e2,0.7561543777393267,26287,106,13.2,low_volume_deep_serp,monitor_or_prune
137,content_f17325c5fdf0,client_3fdba35f04,0.756027281158256,325,104,21.7,low_volume_deep_serp,monitor_or_prune
138,content_1f7638fecdc1,client_3fdba35f04,0.7559539797050505,565,104,2.3,striking_distance_ctr_gap,title_meta_ctr_rewrite
139,content_69cfaabeda16,client_7f2253d7e2,0.7558207959452613,17695,20,19.2,striking_distance_ctr_gap,title_meta_ctr_rewrite
140,content_bd823d21e6a4,client_3fdba35f04,0.7557709726220572,338,104,2.1,striking_distance_ctr_gap,title_meta_ctr_rewrite
141,content_0d0c0c89d0b7,client_3fdba35f04,0.7557523659592144,565,104,41.6,low_volume_deep_serp,monitor_or_prune
142,content_8eda489266b2,client_3fdba35f04,0.7555359932908148,3044,60,25.8,low_volume_deep_serp,monitor_or_prune
143,content_3918b29c9e8c,client_3fdba35f04,0.7554887848868823,280,104,34.1,low_volume_deep_serp,monitor_or_prune
144,content_dba1bbc29b4e,client_3fdba35f04,0.7554303949389544,383,104,38.2,low_volume_deep_serp,monitor_or_prune
145,content_69d4df8e4364,client_3fdba35f04,0.7553056185251908,2836,104,35.7,low_volume_deep_serp,monitor_or_prune
146,content_e115a063d3c8,client_3fdba35f04,0.7552169583306351,762,104,3.9,striking_distance_ctr_gap,title_meta_ctr_rewrite
147,content_10471d12a8d5,client_3fdba35f04,0.7551074224290693,3330,104,33.3,low_volume_deep_serp,monitor_or_prune
148,content_c00005154fb7,client_3fdba35f04,0.7550841697992048,310,104,7.4,striking_distance_ctr_gap,title_meta_ctr_rewrite
149,content_9903bd14be6c,client_3fdba35f04,0.754858203966633,1234,104,35.9,low_volume_deep_serp,monitor_or_prune
150,content_0a91db491d14,client_7f2253d7e2,0.7548151314860977,13299,193,10.5,stale_high_traffic_decay,full_content_refresh
151,content_c514066ce7a8,client_3fdba35f04,0.7548008587661755,392,104,40.7,low_volume_deep_serp,monitor_or_prune
152,content_252c884e4400,client_7f2253d7e2,0.7547829719995254,22537,20,15.9,striking_distance_ctr_gap,title_meta_ctr_rewrite
153,content_9d7d0e8e5278,client_7f2253d7e2,0.754777257556809,32534,20,21.3,low_volume_deep_serp,monitor_or_prune
154,content_7f2e4d6bf2a8,client_3fdba35f04,0.7545808594614798,2732,104,26.6,low_volume_deep_serp,monitor_or_prune
155,content_d840a3a6302b,client_3fdba35f04,0.7543694923302732,704,104,28.7,low_volume_deep_serp,monitor_or_prune
156,content_ac313f093729,client_3fdba35f04,0.7543356089539087,991,104,15.2,striking_distance_ctr_gap,title_meta_ctr_rewrite
157,content_257f801f1cd1,client_3fdba35f04,0.7541901197738639,1839,104,43.9,low_volume_deep_serp,monitor_or_prune
