rank,content_id,client_id,impressions_90d,days_since_last_update,avg_position,ctr,baseline_score,reason_code,action_label,is_declining_label
6702,content_e6c34f7e22ed,client_d029fa3a95,115,20,46.6,0.0,0.0,general_monitoring,title_meta_rewrite,1
6703,content_1a39b537c6ea,client_19581e27de,1435,22,16.9,0.21,0.0,low_ctr_visible_page,title_meta_rewrite,0
6704,content_b545ea9e52f1,client_19581e27de,13706,20,6.3,0.34,0.0,low_ctr_visible_page,title_meta_rewrite,0
6705,content_e39da5ef553c,client_19581e27de,6932,104,8.2,0.17,0.0,page_one_decay_risk,title_meta_rewrite,0
6706,content_d6794e0ec721,client_e29c9c180c,1,20,84.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
6707,content_9746794ea57e,client_8527a891e2,41,104,8.0,0.0,0.0,page_one_decay_risk,title_meta_rewrite,0
6708,content_0e2b943861d5,client_19581e27de,19682,22,5.7,0.08,0.0,low_ctr_visible_page,title_meta_rewrite,1
6709,content_cde90b649d39,client_6208ef0f77,329,20,11.6,0.0,0.0,general_monitoring,title_meta_rewrite,0
6710,content_ad89366ef84f,client_d029fa3a95,253,8,9.8,0.0,0.0,general_monitoring,title_meta_rewrite,1
6711,content_6ad03fc31ffd,client_19581e27de,552,22,19.0,0.36,0.0,low_ctr_visible_page,title_meta_rewrite,1
6712,content_db5c17103d58,client_6208ef0f77,6767,104,26.0,0.13,0.0,low_ctr_visible_page,title_meta_rewrite,0
6713,content_5ec56aadad36,client_6208ef0f77,6095,104,21.9,0.03,0.0,low_ctr_visible_page,title_meta_rewrite,0
6714,content_f6a58fc8b0d1,client_19581e27de,3176,104,4.1,0.22,0.0,page_one_decay_risk,title_meta_rewrite,1
6715,content_a5fe146b4ffc,client_d4735e3a26,19,20,6.6,5.26,0.0,general_monitoring,monitor_performance,0
6716,content_ff43fb1a3b6e,client_349c41201b,2197,20,14.9,0.55,0.0,general_monitoring,monitor_performance,1
6717,content_f8072ac02727,client_2c624232cd,74,22,19.2,0.0,0.0,general_monitoring,title_meta_rewrite,0
6718,content_71af9e9726f3,client_19581e27de,5105,22,9.5,0.08,0.0,low_ctr_visible_page,title_meta_rewrite,0
6719,content_aaa7641512c3,client_9400f1b21c,8807,20,7.8,0.07,0.0,low_ctr_visible_page,title_meta_rewrite,1
6720,content_afaecdd092fb,client_f369cb89fc,50,20,7.4,0.0,0.0,general_monitoring,title_meta_rewrite,0
6721,content_6af4dbfe0470,client_3fdba35f04,496,104,10.7,0.0,0.0,general_monitoring,title_meta_rewrite,1
6722,content_70af67c78f7c,client_6208ef0f77,17428,104,35.7,0.19,0.0,low_ctr_visible_page,title_meta_rewrite,0
6723,content_942399f999b7,client_4e07408562,858,104,7.6,0.0,0.0,page_one_decay_risk,title_meta_rewrite,1
6724,content_3fbab2102eb5,client_f369cb89fc,718,20,11.3,0.28,0.0,low_ctr_visible_page,title_meta_rewrite,0
6725,content_1a99674b5959,client_b4944c6ff0,18362,20,4.9,0.57,0.0,general_monitoring,monitor_performance,0
6726,content_eb47eae80392,client_d4735e3a26,2,20,1.5,50.0,0.0,general_monitoring,monitor_performance,0
6727,content_c2be887148af,client_f74efabef1,35,20,39.4,0.0,0.0,general_monitoring,title_meta_rewrite,0
6728,content_8f49713685cc,client_4e07408562,2914,14,12.3,0.1,0.0,low_ctr_visible_page,title_meta_rewrite,0
6729,content_602eb901a4a6,client_25fc0e7096,3,8,0.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
6730,content_2d8ac4d7e2ff,client_bbb965ab0c,202,20,28.3,0.0,0.0,general_monitoring,title_meta_rewrite,1
6731,content_3ef752eddd7e,client_6208ef0f77,462,104,13.9,0.0,0.0,general_monitoring,title_meta_rewrite,1
6732,content_6abe54161f91,client_d029fa3a95,579,20,9.0,0.0,0.0,low_ctr_visible_page,title_meta_rewrite,0
6733,content_eae6a30bae44,client_19581e27de,596,22,40.0,0.0,0.0,low_ctr_visible_page,title_meta_rewrite,1
6734,content_ac2e5217e4f1,client_8527a891e2,4,92,15.5,0.0,0.0,general_monitoring,title_meta_rewrite,0
6735,content_3b14252ff019,client_624b60c58c,69,8,7.7,0.0,0.0,general_monitoring,title_meta_rewrite,1
6736,content_d1a08ef06423,client_f369cb89fc,4,20,8.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
